citing_paper_title,citing_paper_authors,citing_paper_citations,num_cited_papers,cited_paper_titles
Object-Oriented Inheritance Metrics in the Context of Cognitive Complexity,"D Mishra, A Mishra - Fundamenta Informaticae, 2011 - content.iospress.com",Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
The Use of Reading Technique and Visualization for Program Understanding.,"D Porto, MG Mendona, SCPF Fabbri - SEKE, 2009 - researchgate.net",Cited by 2,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Metaviz: issues in software visualizing beyond 3D,JQ Wang - 2003 - spectrum.library.concordia.ca,Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Experience from Measuring Program ComprehensionToward a General Framework,"J Siegmund, C Kstner, S Apel, A Brechmann, G Saake - 2013 - repository.cmu.edu","",1,Supporting comprehension experiments with human subjects.
Conquering System Complexity,"NF Schneidewind - Conquering Complexity, 2012 - Springer","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
ACCo: a novel approach to measure cohesion using hierarchical slicing of Java programs,"S Panda, DP Mohapatra - Innovations in Systems and Software  , 2015 - Springer",Cited by 1,1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
XVIZIT: Visualizing cognitive units in spreadsheets,"K Hodnigg, M Pinzger -   2015 IEEE 3rd Working Conference on, 2015 - ieeexplore.ieee.org","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Tesi Di Dottorato Settore Scientifico Disciplinare: INF/01,"A Cortesi, P Ugo - 2011 - unive.it","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
"The interplay among software volatility, complexity and development outcomes: evidence from open source software","JA Colazo - International Journal of Information Technology  , 2015 - inderscienceonline.com","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Semantics Based Identifier Mining for UML Models,"BSG Nadesan, K Alagarsamy - ijeit.com","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Analyzing the Evolution of WSDL Interfaces using Metrics,M Kalouda - 2013 - repository.tudelft.nl,"",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Part-of-Speech Tagging of Source Code Identifiers using Programming Language Context Versus Natural Language Context,RS AlSuhaibani - 2015 - etd.ohiolink.edu,"",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
 Eine empirische Untersuchung zu Komplexittsmetriken und Expertenmeinungen,B Katzmarski - 2012,"",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Manuteno de cdigo apoiada pela ferramenta CRISTA,"D Porto, A Zamboni, M Mendona, S Fabbri - lbd.dcc.ufmg.br","",1,Identifying comprehension bottlenecks using program slicing and cognitive complexity metrics
Developing a computer science-specific learning taxonomy,"U Fuller, CG Johnson, T Ahoniemi, D Cukierman - ACM SIGCSE  , 2007 - dl.acm.org",Cited by 125,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
"What do students learn about programming from game, music video, and storytelling projects?","JC Adams, AR Webster - Proceedings of the 43rd ACM technical  , 2012 - dl.acm.org",Cited by 18,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Evaluation of a UML-based versus an IEC 61131-3-based software engineering approach for teaching PLC programming,"B Vogel-Heuser, M Obermeier, S Braun - Education, IEEE  , 2013 - ieeexplore.ieee.org",Cited by 15,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Application of Bloom's Taxonomy in Software Engineering Assessments,"NN Khairuddin, K Hashim - Proceedings of the 8th WSEAS International  , 2008 - Citeseer",Cited by 14,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
A Context-Aware Analysis Scheme for Bloom's Taxonomy,"T Kelly, J Buckley -  , 2006. ICPC 2006. 14th IEEE International  , 2006 - ieeexplore.ieee.org",Cited by 12,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Student self-assessment in a programming course using bloom's revised taxonomy,"S Alaoutinen, K Smolander -   of the fifteenth annual conference on  , 2010 - dl.acm.org",Cited by 11,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Test Driving Reusable Components,S Marshall - 2005 - Citeseer,Cited by 8,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Checklist inspections and modifications: applying Bloom's taxonomy to categorise developer comprehension,"DA McMeekin, BR Von Konsky -  , 2008. ICPC 2008.  , 2008 - ieeexplore.ieee.org",Cited by 7,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Classifying software visualization tools using the Bloom's taxonomy of cognitive domain,"S Xu, X Chen, D Liu - Electrical and Computer Engineering,  , 2009 - ieeexplore.ieee.org",Cited by 7,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Analysis-based techniques for Program Comprehension,"X Zhang - DOI= www. cs. uoregon. edu/~ xzhang/documents/ , 2005 - Citeseer",Cited by 5,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Evaluating the effect of learning style and student background on self-assessment accuracy,"S Alaoutinen - Computer Science Education, 2012 - Taylor & Francis",Cited by 4,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Implementation of Bloom's Taxonomy on Systems Analysis Workshops,"A Yadin - Proceedings of the AIS SIG-ED IAIM 2007 Conference, 2007 - researchgate.net",Cited by 4,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Software engineering assessments and learning outcomes,"K Hashim, NN Khairuddin - The proceedings of the 8th WSEAS Int.  , 2009 - wseas.us",Cited by 3,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Students' activity focus in online asynchronous peer learning forums.,"A Gaspar, S Langevin, NR Boyer, WD Armitage - Informatics in Education, 2010 - mii.lt",Cited by 3,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Student adoption & development of digital learning media: action research and recommended practices,"SW Tabor, RP Minch - J. Info. Tech. Ed. Res, 2013 - jite.org",Cited by 4,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
A Green computing professional education course online: Designing and delivering a course in ICT sustainability using Internet and eBooks,"T Worthington - Computer Science & Education (ICCSE), 2012  , 2012 - ieeexplore.ieee.org",Cited by 3,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
A preliminary validation of Linux system administration learning outcomes,"A Gaspar, W Armitage, N Boyer, G Johnson - Journal of Computing  , 2012 - dl.acm.org",Cited by 2,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Teaching Software Architecture Quality based on run-time metrics,"RM de Andrade, R Arakaki - Citeseer",Cited by 2,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Cognitive levels and Software Maintenance Sub-tasks,"T Kelly, J Buckley - 21st Annual Worshop of the Psychology of  , 2009 - ppig.org",Cited by 2,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Female characteristics and requirements in software engineering in mechanical engineering,"D Grams, T Frank, S Rehberger -   Learning (ICL), 2014  , 2014 - ieeexplore.ieee.org",Cited by 1,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
"Designing Linux System Administration Learning OutcomesEducational, Industry & Student Perspectives","A Gaspar, W Armitage, N Boyer - CCSC Rocky  , 2012 - cereal.forest.usf.edu",Cited by 1,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Dynamic Cognitive Process Application of Blooms Taxonomy for Complex Software Design in the Cognitive Domain,"NR Kumar, TP Pushpavathi, R Selvarani - arXiv preprint arXiv:1002.2829, 2010 - arxiv.org",Cited by 1,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
A Conceptual Framework for Application Comprehension,"VN Gudivada, J Nandigam -  : New Generations, 2008.  , 2008 - ieeexplore.ieee.org",Cited by 1,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Website Performance Evaluation and Estimation in an E-business Environment,"J Soininen -   teknillinen yliopisto. Julkaisu-Tampere University of  , 2012 - dspace.cc.tut.fi",Cited by 1,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Experiencia sobre el diseo y evaluacin de una herramienta educativa para POO,"IH Losada - Tecnolog as del software: Seminario de  , 2007 - books.google.com",Cited by 1,1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
An in-vivo study of the cognitive levels employed by programmers during software maintenance,"T Kelly, J Buckley -   Comprehension, 2009. ICPC'09. IEEE 17th  , 2009 - ieeexplore.ieee.org","",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
ON THE USE OF BLOOMS TAXONOMY AS A BASIS TO DESIGN EDUCATIONAL SOFTWARE ON PROGRAMMING,"IH Losada, CAL Carrascosa, JV Iturbide - 2004 - lite.etsii.urjc.es","",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Mapping a sequence diagram to the related code: cognitive levels expressed by developers,"DA McMeekin, BR Von Konsky -  , 2009. INDIN 2009.  , 2009 - ieeexplore.ieee.org","",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Effects of learning style and student background on self-assessment and course performance,"S Alaoutinen - Proceedings of the 10th Koli Calling International  , 2010 - dl.acm.org","",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Enhancing Learnability of Pair Programming Practice when Introducing Novices,P Janu - 2014 - is.muni.cz,"",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
 Diseo de software educativo para la enseanza de la programacin orientada a objetos basado en la taxonoma de Bloom,I Hernn Losada - 2012 - Universidad Rey Juan Carlos,"",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Dificuldades de aprendizagem de programao de computadores: contributos para a sua compreenso e resoluo,A de Jesus Gomes - 2010 - files.isec.pt,"",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
 Experiencia sobre el diseo y evaluacin de una herramienta educativa para POO,I Hernn-Losada - 2007 - DYKINSON SL,"",1,Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems
Studying software engineers: Data collection techniques for software field studies,"TC Lethbridge, SE Sim, J Singer - Empirical software engineering, 2005 - Springer",Cited by 271,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
"Theories, methods and tools in program comprehension: Past, present and future","MA Storey -  , 2005. IWPC 2005. Proceedings. 13th International , 2005 - ieeexplore.ieee.org",Cited by 159,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
On the use of visualization to support awareness of human activities in software development: a survey and a framework,"MAD Storey, D ubrani, DM German -   of the 2005 ACM symposium on  , 2005 - dl.acm.org",Cited by 155,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
"Theories, tools and research methods in program comprehension: past, present and future","MA Storey - Software Quality Journal, 2006 - Springer",Cited by 97,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Software engineering data collection for field studies,"J Singer, SE Sim, TC Lethbridge - Guide to Advanced Empirical Software  , 2008 - Springer",Cited by 36,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
A framework for describing and understanding mining tools in software development,"DM German, D Cubrani, MAD Storey - ACM SIGSOFT Software  , 2005 - dl.acm.org",Cited by 26,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Computer Code as a Medium for Human Communication: Are Programming Languages Improving?,"G Dubochet - Proceedings of the 21st Working Conference on  , 2009 - infoscience.epfl.ch",Cited by 13,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Cognitive support for semi-automatic ontology mapping,SM Falconer - 2009 - dspace.library.uvic.ca,Cited by 13,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
An investigation into professional programmers' mental representations of variables,"J Sajaniemi, RN Prieto - Program Comprehension, 2005. IWPC , 2005 - ieeexplore.ieee.org",Cited by 8,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Mining Software RepositoriesA Comparative Analysis,"SO Olatunji, SU Idrees, YS Al-Ghamdi, JSA Al-Ghamdi - IJCSNS, 2010 - researchgate.net",Cited by 4,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Symbolic analysis and atomistic model as a basis for a program comprehension methodology,E Laitila - 2008 - jyx.jyu.fi,Cited by 5,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Theory adapters as discipline coordinators,"A Walenstein - Proceedings of the 2004 ACM workshop on  , 2004 - dl.acm.org",Cited by 2,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Comparing program comprehension of physically and virtually separated concerns,"J Siegmund, C Kstner, J Liebig, S Apel - Proceedings of the 4th  , 2012 - dl.acm.org",Cited by 5,1,Supporting comprehension experiments with human subjects.
CoMoVA-A comprehension measurement framework for visualization systems,HK Padda - 2009 - Citeseer,Cited by 1,1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Measuring and modeling programming experience,"J Siegmund, C Kstner, J Liebig, S Apel - Empirical Software  , 2014 - Springer",Cited by 7,1,Supporting comprehension experiments with human subjects.
Toward measuring program comprehension with functional magnetic resonance imaging,"J Siegmund, A Brechmann, S Apel, C Kstner - Proceedings of the  , 2012 - dl.acm.org",Cited by 10,1,Supporting comprehension experiments with human subjects.
On experiments for measuring cognitive weights for software control structures,"V Gruhn, R Laue - Cognitive Informatics, 6th IEEE International  , 2007 - ieeexplore.ieee.org",Cited by 6,1,Towards standard for experiments in program comprehension
"Empirical investigations supporting an extensible, theoretical approach to understanding software inspections",DJA Cooper - 2010 - espace.library.curtin.edu.au,"",1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
Acquisition Of Software Engineering Knowledge: SWEEP: An Automatic Programming System Based on Genetic Programming and Cultural Algorithms,"GS Cowan, RG Reynolds - 2003 - books.google.com",Cited by 8,1,Towards standard for experiments in program comprehension
Generating quality software specifications for decision support: a novel approach,MP Voightmann - 2004 - dspace.mit.edu,"",1,Observing and measuring cognitive support: Steps toward systematic tool evaluation and engineering
"Re-documenting, visualizing and understanding software system using DocLike Viewer","S Sulaiman, NB Idris -   Conference, 2003. Tenth  , 2003 - ieeexplore.ieee.org",Cited by 13,1,An empirical study of the effect of semantic differences on programmer comprehension
A theory of benchmarking with applications to software reverse engineering,SE Sim - 2003 - Citeseer,Cited by 7,1,An empirical study of the effect of semantic differences on programmer comprehension
nhancing Cognitive Aspects of Software Visualization Using DocLike Modularized Graph.,"S Sulaiman, NB Idris, S Sahibuddin - Int. Arab J. Inf. Technol., 2005 - uop.edu.jo",Cited by 6,1,An empirical study of the effect of semantic differences on programmer comprehension
Spotting the difference,"M Lanna, D Amyot - Software: Practice and Experience, 2011 - Wiley Online Library",Cited by 2,1,An empirical study of the effect of semantic differences on programmer comprehension
"The experimental paradigm in reverse engineering: Role, challenges, and limitations","LC Briand - Reverse Engineering, 2006. WCRE'06. 13th  , 2006 - ieeexplore.ieee.org",Cited by 13,1,Towards standard for experiments in program comprehension
Semantic Comparison of Structured Dataflow Programs,DT Anh - 2009 - cs.dal.ca,"",1,An empirical study of the effect of semantic differences on programmer comprehension
A study of quality improvements by refactoring,"B Du Bois - Dissertation Abstracts International, 2006 - Citeseer",Cited by 19,1,Towards standard for experiments in program comprehension
Search-based software test data generation: A survey,"P McMinn - Software Testing Verification and Reliability, 2004 - soccerlab.polymtl.ca",Cited by 1005,1,Side-effect removal transformation
Bloom's taxonomy: a framework for assessing programmers' knowledge of software systems,"J Buckley, C Exton -  2003. 11th IEEE International Workshop on, 2003 - ieeexplore.ieee.org",Cited by 33,1,Towards standard for experiments in program comprehension
Search based software testing of object-oriented containers,"A Arcuri, X Yao - Information Sciences, 2008 - Elsevier",Cited by 87,1,Side-effect removal transformation
Structural and functional sequence test of dynamic and state-based software with evolutionary algorithms,"A Baresel, H Pohlheim, S Sadeghipour - Genetic and Evolutionary  , 2003 - Springer",Cited by 70,1,Side-effect removal transformation
FORTEST: Formal methods and testing,"JP Bowen, K Bogdanov, JA Clark - Computer Software  , 2002 - ieeexplore.ieee.org",Cited by 40,1,Side-effect removal transformation
An empirical investigation of the influence of a type of side effects on program comprehension,"JJ Dolado, M Harman, MC Otero -  , IEEE Transactions on, 2003 - ieeexplore.ieee.org",Cited by 37,1,Side-effect removal transformation
Vada: A transformation-based system for variable dependence analysis,"M Harman, C Fox, R Hierons, L Hu -   Code Analysis and  , 2002 - ieeexplore.ieee.org",Cited by 33,1,Side-effect removal transformation
Evolutionary search for test data in the presence of state behaviour,P McMinn - 2005 - philmcminn.staff.shef.ac.uk,Cited by 29,1,Side-effect removal transformation
Branch-coverage testability transformation for unstructured programs,"RM Hierons, M Harman, CJ Fox - The Computer Journal, 2005 - Br Computer Soc",Cited by 27,1,Side-effect removal transformation
Syntax-directed amorphous slicing,"M Harman, L Hu, M Munro, X Zhang, D Binkley - Automated Software  , 2004 - Springer",Cited by 24,1,Side-effect removal transformation
GUSTT: An amorphous slicing system which combines slicing and transformation,"M Harman, L Hu, M Munro -  2001. Proceedings. Eighth , 2001 - ieeexplore.ieee.org",Cited by 15,1,Side-effect removal transformation
A post-placement side-effect removal algorithm,"M Harman, L Hu, R Hierons, M Munro - Software  , 2002 - ieeexplore.ieee.org",Cited by 14,1,Side-effect removal transformation
Evolutionary testing supported by slicing and transformation,"M Harman, L Hu, R Hierons, C Fox - Software  , 2002 - ieeexplore.ieee.org",Cited by 14,1,Side-effect removal transformation
The structural complexity of software an experimental test,"DP Darcy, CF Kemerer, SA Slaughter -   IEEE Transactions on, 2005 - ieeexplore.ieee.org",Cited by 129,1,Towards standard for experiments in program comprehension
Evolutionary safety testing of embedded control software by automatically generating compact test data sequences,"H Pohlheim, M Conrad, A Griep - SAE 2005 World Congress &  , 2005 - pohlheim.com",Cited by 13,1,Side-effect removal transformation
Automatic software generation and improvement through search based techniques,A Arcuri - 2009 - etheses.bham.ac.uk,Cited by 13,1,Side-effect removal transformation
The limitations of genetic algorithms in software testing,"SH Aljahdali, AS Ghiduk - Computer Systems and  , 2010 - ieeexplore.ieee.org",Cited by 10,1,Side-effect removal transformation
On the business impact of software process improvement,"RJ Kusters, JJM Trienekens, W Hassoldt - null, 2002 - computer.org",Cited by 5,1,Side-effect removal transformation
 Improving Evolutionary Testing in the Presence of State Behaviour,"P McMinn - PhD Transfer Report, University of Sheffield, 2002",Cited by 4,1,Side-effect removal transformation
Searching for test data,K Ghani - 2009 - cs.york.ac.uk,Cited by 3,1,Side-effect removal transformation
 GU STT: An Am orphous Slicing System which Com bines,"M Harman, M Munro, L Hu, X Zhang","",1,Side-effect removal transformation
Improving Testability with Stateless Method Extraction,O Dagenais - 2012 - curve.carleton.ca,"",1,Side-effect removal transformation
"Report 3: Thesis Proposal, academic year 2007/2008",D Ghica - Citeseer,"",1,Side-effect removal transformation
A Search Space Reduction System for Evolutionary Testing,"M Harman, R Hierons, C Fox, S Danicic, A Baresel - wivenhoe.demon.co.uk","",1,Side-effect removal transformation
Equivalence hypothesis testing in experimental software engineering,"JJ Dolado, MC Otero, M Harman - Software Quality Journal, 2014 - Springer","",1,Side-effect removal transformation
 DH1 3LE. UK.,"L Hu, R Hierons, M Munro, X Zhang, JJ Dolado - Proceedings, 2002 - IEEE","",1,Side-effect removal transformation
Instrumentation and transformation of Java source code for automated testing with search-based testing algorithms,"K Jansen, MH Bjrdal, TN Gravermoen, KF Seip - 2010 - duo.uio.no","",1,Side-effect removal transformation
:        -," ,   - system-informatics.ru","",1,Side-effect removal transformation
Source code analysis: A road map,"D Binkley - 2007 Future of Software Engineering, 2007 - dl.acm.org",Cited by 165,1,Program simplification as a means of approximating undecidable propositions
A survey of empirical results on program slicing,"D Binkley, M Harman - Advances in Computers, 2004 - Elsevier",Cited by 112,1,Program simplification as a means of approximating undecidable propositions
Pre/post conditioned slicing,"M Harman, R Hierons, C Fox, S Danicic - Proceedings of the IEEE  , 2001 - dl.acm.org",Cited by 70,1,Program simplification as a means of approximating undecidable propositions
ConSIT: A conditioned program slicer,"S Danicic, C Fox, M Harman - Software Maintenance,  , 2000 - ieeexplore.ieee.org",Cited by 53,1,Program simplification as a means of approximating undecidable propositions
An empirical study of amorphous slicing as a program comprehension support tool,"D Binkley, M Harman, LR Raszewski -  . IWPC 2000. 8th  , 2000 - ieeexplore.ieee.org",Cited by 39,1,Program simplification as a means of approximating undecidable propositions
The relationship between program dependence and mutation analysis,"M Harman, R Hierons, S Danicic - Mutation testing for the new century, 2001 - Springer",Cited by 38,1,Program simplification as a means of approximating undecidable propositions
Slicing-based test case generation from uml activity diagrams,"P Samuel, R Mall - ACM SIGSOFT Software Engineering Notes, 2009 - dl.acm.org",Cited by 21,1,Program simplification as a means of approximating undecidable propositions
A Novel Test Case Design Technique Using Dynamic Slicing of UML Sequence Diagrams.,"P Samuel, R Mall - e-Informatica, 2008 - e-informatyka.pl",Cited by 20,1,Program simplification as a means of approximating undecidable propositions
Program analysis and test hypotheses complement,"RM Hierons, M Harman - IEEE ICSE International Workshop on  , 2000 - researchgate.net",Cited by 7,1,Program simplification as a means of approximating undecidable propositions
Formal program reversing by conditioned slicing,"G Villavicencio - Software Maintenance and Reengineering,  , 2003 - ieeexplore.ieee.org",Cited by 7,1,Program simplification as a means of approximating undecidable propositions
 Program Transformation Techniques for Personalizing Interactions with Information Systems,"S Perugini, N Ramakrishnan, EA Fox - 2003 - Ph. D. prelim document. Department  ",Cited by 1,1,Program simplification as a means of approximating undecidable propositions
Pre/Post Conditioned Slicing,"S Danicic, C Fox, M Harman, R Hierons - csee.essex.ac.uk","",1,Program simplification as a means of approximating undecidable propositions
 An Application of Amorphous Program Slicing,"LR Raszewski, D Binkley","",1,Program simplification as a means of approximating undecidable propositions
An automated approach for supporting software reuse via reverse engineering,"GC Gannod, Y Chen -  , 1998. Proceedings. 13th  , 1998 - ieeexplore.ieee.org",Cited by 15,1,Code understanding through program transformation for reusable component identification
Specifying and automatically generating a specialization tool for Fortran 90,"S Blazy - Automated Software Engineering, 2000 - Springer",Cited by 8,1,Code understanding through program transformation for reusable component identification
Modelling Web-Based System with UML Sequence Diagrams,"J Pu, Z Zhang, R Millham, Y Xu - the Proceedings of IADIS  , 2005 - cse.dmu.ac.uk",Cited by 1,1,Code understanding through program transformation for reusable component identification
An approach for extracting business rules from legacy C++ code,"A Jain, S Soner, AS Rathore -   (ICECT), 2011 3rd  , 2011 - ieeexplore.ieee.org",Cited by 1,1,Code understanding through program transformation for reusable component identification
Refactoring Industrial-Strength Code,U Parvez - Citeseer,"",1,Code understanding through program transformation for reusable component identification
Algorithmic Information Theory for Obfuscation Security,"R Mohsen, AM Pinto - 2015 - eprint.iacr.org",Cited by 1,1,On the effect of code regularity on comprehension
When do Software Complexity Metrics Mean Nothing?When Examined out of Context,"JY Gil, G Lalouche - Journal of Object Technology, 2016 - jot.fm","",1,On the effect of code regularity on comprehension
How programmers read regular code: a controlled experiment using eye tracking,"A Jbara, DG Feitelson - Proceedings of the 2015 IEEE 23rd International  , 2015 - dl.acm.org",Cited by 1,1,On the effect of code regularity on comprehension
Regularity of Code: A New Structural Property and its Effect on Code Complexity and Comprehension,A Jbara - 2015 - cs.huji.ac.il,"",1,On the effect of code regularity on comprehension
Software quality and security in teachers' and students' codes when learning a new programming language,"S Boutnaru, A Hershkovitz - Interdisciplinary Journal of e-Skills and  , 2015 - ijello.org","",1,On the effect of code regularity on comprehension
Source Code Interaction on Touchscreens,F Raab - 2016 - epub.uni-regensburg.de,"",1,Toward Intuitive Programming Languages
 COGNITIVE SUPPORT IN SOFTWARE ENGINEERING TOOLS: A DISTRIBUTED COGNITION FRAMEWORK,  - 2002 - SIMON FRASER UNIVERSITY,"",1,Building a research infrastructure for program comprehension observations
Generating parameter comments and integrating with method summaries,"G Sridhara, L Pollock -   (ICPC), 2011 IEEE 19th  , 2011 - ieeexplore.ieee.org",Cited by 31,1,Impact of limited memory resources
Natural language-based software analyses and tools for software maintenance,"L Pollock, K Vijay-Shanker, E Hill, G Sridhara - Software  , 2013 - Springer",Cited by 7,1,Impact of limited memory resources
Confounding parameters on program comprehension: a literature survey,"J Siegmund, J Schumann - Empirical Software Engineering, 2015 - Springer",Cited by 4,1,Impact of limited memory resources
Entwicklung eines erweiterbaren Werkzeugs zur Experimentdurchfhrung ber Programmverstndnis basierend auf der Analyse bereits durchgefhrter  ,"A Hasselberg, M Kppen, G Saake, DIJ Feigenspan - 2011 - wwwiti.cs.uni-magdeburg.de","",1,Impact of limited memory resources
New frontiers of reverse engineering,"G CanforaHarman, M Di Penta - 2007 Future of Software Engineering, 2007 - dl.acm.org",Cited by 145,1,"Theories, methods and tools in program comprehension: Past, present and future"
"Research Methods in Computing: What are they, and how should we teach them?","HJ Holz, A Applin, B Haberman, D Joyce - ACM SIGCSE  , 2006 - dl.acm.org",Cited by 53,1,"Theories, methods and tools in program comprehension: Past, present and future"
Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments,"T Kosar, M Mernik, JC Carver - Empirical software engineering, 2012 - Springer",Cited by 47,1,"Theories, methods and tools in program comprehension: Past, present and future"
Comprehension strategies and difficulties in maintaining object-oriented systems: An explorative study,"A Karahasanovi, AK Levine, R Thomas - Journal of Systems and Software, 2007 - Elsevier",Cited by 39,1,"Theories, methods and tools in program comprehension: Past, present and future"
Requirements of software visualization tools: A literature survey,"HM Kienle, HA Mller -  and Analysis, 2007. VISSOFT 2007. 4th , 2007 - ieeexplore.ieee.org",Cited by 40,1,"Theories, methods and tools in program comprehension: Past, present and future"
