citing_paper_title,citing_paper_authors,citing_paper_citations,num_cited_papers,cited_paper_titles
Program comprehension for domain-specific languages,"MJV Pereira, M Mernik, PR Henriques - Computer Science and  , 2008 - doiserbia.nb.rs",Cited by 35,1,"Theories, methods and tools in program comprehension: Past, present and future"
Software evolution comprehension: Replay to the rescue,"L Hattori, M D'Ambros, M Lanza -   (ICPC), 2011 IEEE 19th  , 2011 - ieeexplore.ieee.org",Cited by 27,1,"Theories, methods and tools in program comprehension: Past, present and future"
An ontological software comprehension process model,"W Meng, J Rilling, Y Zhang, R Witte -  , and Ontologies for  , 2006 - cs.concordia.ca",Cited by 26,1,"Theories, methods and tools in program comprehension: Past, present and future"
Intensions are a key to program comprehension.,"V Rajlich - ICPC, 2009 - cs.wayne.edu",Cited by 25,1,"Theories, methods and tools in program comprehension: Past, present and future"
Jype-a program visualization and programming exercise tool for Python,"J Helminen, L Malmi - Proceedings of the 5th international symposium on , 2010 - dl.acm.org",Cited by 24,1,"Theories, methods and tools in program comprehension: Past, present and future"
"RigiAn environment for software reverse engineering, exploration, visualization, and redocumentation","HM Kienle, HA Mller - Science of Computer Programming, 2010 - Elsevier",Cited by 21,1,"Theories, methods and tools in program comprehension: Past, present and future"
Block Model: an educational model of program comprehension as a tool for a scholarly approach to teaching,"C Schulte - Proceedings of the Fourth international Workshop on  , 2008 - dl.acm.org",Cited by 21,1,"Theories, methods and tools in program comprehension: Past, present and future"
Expressiveness and effectiveness of program comprehension: thoughts on future research directions,"JI Maletic, H Kagdi - Frontiers of Software Maintenance, 2008 - researchgate.net",Cited by 19,1,"Theories, methods and tools in program comprehension: Past, present and future"
Program inspection to interconnect behavioral and operational view for program comprehension,"M Bern, P Henriques, MJ Pereira, R Uzal - 2007 - bibliotecadigital.ipb.pt",Cited by 20,1,"Theories, methods and tools in program comprehension: Past, present and future"
Jtourbus: Simplifying program understanding by documentation that provides tours through the source code,"C Oezbek, L Prechelt - Software Maintenance, 2007. ICSM  , 2007 - ieeexplore.ieee.org",Cited by 18,1,"Theories, methods and tools in program comprehension: Past, present and future"
"Bits of history, challenges for the future and autonomic computing technology","HA Mller - Reverse Engineering, 2006. WCRE'06. 13th  , 2006 - ieeexplore.ieee.org",Cited by 15,1,"Theories, methods and tools in program comprehension: Past, present and future"
Package fingerprints: A visual summary of package interface usage,"H Abdeen, S Ducasse, D Pollet, I Alloui - Information and Software  , 2010 - Elsevier",Cited by 15,1,"Theories, methods and tools in program comprehension: Past, present and future"
The effect of task order on the maintainability of object-oriented software,"AI Wang, E Arisholm - Information and Software Technology, 2009 - Elsevier",Cited by 13,1,"Theories, methods and tools in program comprehension: Past, present and future"
Feature location and extraction using landmarks and barriers,"N Walkinshaw, M Roper, M Wood -   Maintenance, 2007. ICSM  , 2007 - ieeexplore.ieee.org",Cited by 13,1,"Theories, methods and tools in program comprehension: Past, present and future"
Sonification design guidelines to enhance program comprehension,"K Hussein, E Tilevich, II Bukvic -  , 2009. ICPC'09. IEEE  , 2009 - ieeexplore.ieee.org",Cited by 11,1,"Theories, methods and tools in program comprehension: Past, present and future"
Empirical evaluation of diagrams of the run-time structure for coding tasks,"N Ammar, M Abi-Antoun - Reverse Engineering (WCRE), 2012  , 2012 - ieeexplore.ieee.org",Cited by 11,1,"Theories, methods and tools in program comprehension: Past, present and future"
Categorization of concerns: a categorical program comprehension model,"T Frey, M Gelhausen, G Saake - Proceedings of the 3rd ACM SIGPLAN  , 2011 - dl.acm.org",Cited by 10,1,"Theories, methods and tools in program comprehension: Past, present and future"
Tracking and visualizing information flow in component-based systems,"AR Yazdanshenas, L Moonen -   Comprehension (ICPC), 2012  , 2012 - ieeexplore.ieee.org",Cited by 10,1,"Theories, methods and tools in program comprehension: Past, present and future"
An Ontology-based Program Comprehension Model,Y Zhang - 2007 - Citeseer,Cited by 10,1,"Theories, methods and tools in program comprehension: Past, present and future"
Tool support for automated traceability of test/code artifacts in embedded software systems,"C Wiederseiner, V Garousi - Trust, Security and Privacy , 2011 - ieeexplore.ieee.org",Cited by 9,1,"Theories, methods and tools in program comprehension: Past, present and future"
Beyond information silosan omnipresent approach to software evolution,"J Rilling, R Witte, P Schuegerl - International Journal of  , 2008 - World Scientific",Cited by 9,1,"Theories, methods and tools in program comprehension: Past, present and future"
Software knowledge capture and acquisition: tool support for agile settings,"FF Correia, A Aguiar - 2009 Fourth International Conference on  , 2009 - computer.org",Cited by 9,1,"Theories, methods and tools in program comprehension: Past, present and future"
Story-driven approach to software evolution,"J Rilling, WJ Meng, R Witte, P Charland - Software, IET, 2008 - ieeexplore.ieee.org",Cited by 8,1,"Theories, methods and tools in program comprehension: Past, present and future"
Empirical Comparison of FOSD Approaches Regarding Program ComprehensionA Feasibility Study,J Feigenspan - 2009 - Citeseer,Cited by 15,1,Building a research infrastructure for program comprehension observations
Software Visualization-A Process Perspective,"J Rilling, WJ Meng, F Chen - Visualizing Software for  , 2007 - ieeexplore.ieee.org",Cited by 7,1,"Theories, methods and tools in program comprehension: Past, present and future"
An empirical study of spreadsheet authors' mental models in explaining and debugging tasks,"B Kankuzi, J Sajaniemi -   (VL/HCC), 2013 IEEE Symposium on, 2013 - ieeexplore.ieee.org",Cited by 6,1,"Theories, methods and tools in program comprehension: Past, present and future"
Answering software evolution questions: An empirical evaluation,"L Hattori, M D'Ambros, M Lanza, M Lungu - Information and Software  , 2013 - Elsevier",Cited by 5,1,"Theories, methods and tools in program comprehension: Past, present and future"
Embedding Model Specifications in Object-Oriented Program Code: A Bottom-up Approach for Model-based Software Development,M Balz - 2011 - duepublico.uni-duisburg-essen.de,Cited by 5,1,"Theories, methods and tools in program comprehension: Past, present and future"
A study on guiding programmers' code navigation with a graphical code recommender,"S Lee, S Kang - Software Engineering Research, Management and  , 2012 - Springer",Cited by 5,1,"Theories, methods and tools in program comprehension: Past, present and future"
A context-driven software comprehension process model,"WJ Meng, J Rilling, Y Zhang, R Witte -  , 2006. SE'06.  , 2006 - ieeexplore.ieee.org",Cited by 5,1,"Theories, methods and tools in program comprehension: Past, present and future"
The VIVIDE programming environment: connecting run-time information with programmers' system knowledge,"M Taeumel, B Steinert, R Hirschfeld - Proceedings of the ACM  , 2012 - dl.acm.org",Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
"Quick introduction to programming with an integrated code editor, automatic assessment and visual debugging toolwork in progress","J Helminen, L Malmi, A Korhonen - Koli Calling 2009, 2010 - it.uu.se",Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
Application Domain Name-Based Analysis1,"P Vclavk - Journal of Computer Science and Control  , 2009 - search.proquest.com",Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
Comment analysis for program comprehension,JLF Freitas - 2011 - repositorium.sdum.uminho.pt,Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
Design pattern directed clustering for understanding open source code,"Z Han, L Wang, L Yu, X Chen -  , 2009. ICPC'09. IEEE  , 2009 - ieeexplore.ieee.org",Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
Assessing the influence of import-coupling on OCL expression maintainability: A cognitive theory-based perspective,"L Reynoso, E Manso, M Genero, M Piattini - Information Sciences, 2010 - Elsevier",Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
Architecture-based software reengineering,"P Dugerdil - Isnet62 Project, 2006 - campus.hesge.ch",Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
Using software analysis tools to understand military applications,"P Charland, D Dessureault, M Lizotte, D Ouellet - 2006 - cradpdf.drdc.gc.ca",Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
15 Years of Program Comprehension,"S Tilley - null, 2007 - computer.org",Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
Software design metrics for predicting maintainability of service-oriented software,M Perepletchikov - 2009 - researchbank.rmit.edu.au,Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
Evaluation criteria of software visualization systems used for program comprehension,"M Bern, D Cruz, MJ Pereira, P Henriques, R Uzal - 2008 - bibliotecadigital.ipb.pt",Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
AId: uma Ferramenta para anlise de identificadores de programas Java,"J Azcurra, M Bern, G Montejano - CoNaIISI 2014-2  , 2014 - bibliotecadigital.ipb.pt",Cited by 4,1,"Theories, methods and tools in program comprehension: Past, present and future"
Using robustness diagrams to help with software understanding,"P Dugerdil, J Belmonte, D Kony - International journal of software  , 2009 - doc.rero.ch",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Applying program comprehension techniques to karel robot programs,"N Oliveira, PR Henriques, D Da Cruz -  , 2009. IMCSIT'09.  , 2009 - ieeexplore.ieee.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Cognitive support in software engineering tools: A distributed cognition framework,A Walenstein - 2002 - Citeseer,Cited by 77,1,Building a research infrastructure for program comprehension observations
Everyday practices of agile software developers,JR Prior - 2011 - opus.lib.uts.edu.au,Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Degradation archaeology: studying software flaws' evolution,"A Lozano, M Wermelinger - Proc. of the ERCIM  , 2006 - researchgate.net",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Patterns and Tools for improving Framework Understanding: a Collaborative Approach,"N Flores, A Aguiar - 2009 Fourth International Conference on  , 2009 - computer.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Merits and pitfalls of programming learning objects: a pilot study,"R Matthews, HS Hin, KA Choo -   of the 10th international conference on  , 2012 - dl.acm.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
A small primer on software reverse engineering,"HA Muller, HM Kienle - 2009 - researchgate.net",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Empirical Assessment of UML Class Diagram Layouts Based on Architectural Importance,B Sharif - 2010 - rave.ohiolink.edu,Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Autofolding for Source Code Summarization,"J Fowkes, R Ranca, M Allamanis, M Lapata - arXiv preprint arXiv: , 2014 - arxiv.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
The impact of tools supported in integrated-development environments on program comprehension,"T Kosar, M Mernik, JC Carver -  ITI), Proceedings of the ITI 2011  , 2011 - ieeexplore.ieee.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Program inspection to inter-connect the operational and behavioral views for program comprehension,"MM Bern13, PR Henriques, MJ Varanda, R Uzal - cs.york.ac.uk",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Patterns for understanding frameworks,"N Flores, A Aguiar - Proceedings of the 15th Conference on Pattern  , 2008 - dl.acm.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
The information gathering strategies of API learners,"E Duala-Ekoko, MP Robillard - 2010 - Citeseer",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Lesen im Informatikunterricht.,"C Schulte - INFOS, 2007 - w3.inf.fu-berlin.de",Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
Proposta de um sistema para compreenso de aplicaes Web,"E Oliveira, P Henriques, MJ Pereira - 2006 - bibliotecadigital.ipb.pt",Cited by 3,1,"Theories, methods and tools in program comprehension: Past, present and future"
Simplificando la comprensin de programas a travs de la interconexin de dominios,"M Bern, PR Henriques -   de Ciencias de la  , 2008 - sedici.unlp.edu.ar",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
"",   - 2011 - ir.library.osaka-u.ac.jp,Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
Feature Mining: Semiautomatische Transition von (Alt-) Systemen zu Software-Produktlinien,A Dreiling - 2010 - wwwiti.cs.uni-magdeburg.de,Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
 udos ,"  -  D, 2007 - search.ieice.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
An Exploratory Study on How Can Diagramming Tools Help Support Programming Activities,"S Lee, GC Murphy, T Fritz, M Allen - ftp-admin.cs.ubc.ca",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
UNDERSTANDING OF HETEROGENEOUS MULTI-STAGE META-PROGRAMS,"V tuikys, R Damaeviius, G Ziberkas - Information Technology And , 2012 - eejournal.ktu.lt",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Open source programmers' information seeking,KY Sharif - 2012 - ulir.ul.ie,Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Hypermodelling: Next Level Software Engineering with Data Warehouses,T Frey - 2013 - books.google.com,Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Explaining visual changes in web interfaces,"B Burg, AJ Ko, MD Ernst - Proceedings of the 28th Annual ACM  , 2015 - dl.acm.org",Cited by 2,1,"Theories, methods and tools in program comprehension: Past, present and future"
An Eclipse Plugin for the Automated Reverse-Engineering of Software Programs,"P Dugerdil, D Kony, J Belmonte - 2009 Sixth International Conference  , 2009 - computer.org",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Overview of Program Comprehension,"W Kechao, W Tiantian, S Xiaohong -  Conference on Computer , 2012 - computer.org",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Understanding how reverse engineers make sense of programs from assembly language representations,AR Bryant - 2012 - DTIC Document,Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Evaluating a Disruptive Innovation: Function Extraction Technology in Software Development,"R Collins, A Hevner, R Linger - System Sciences (HICSS), 2011 , 2011 - ieeexplore.ieee.org",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
"Refinement and Extension of SMDM, a Method for Defining Valid Measures.","L Reynoso, M Genero, M Piattini - J. UCS, 2010 - jucs.org",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
"Code, camera, action: how software developers document and share program knowledge using YouTube","L MacLeod, MA Storey, A Bergen - Proceedings of the 2015 IEEE 23rd  , 2015 - dl.acm.org",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
"","   - , 2013 - cqvip.com",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Domain-Driven Reverse Architecting (DDRA),P Dugerdil - 2008 - campus.hesge.ch,Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Analisis dinamico para la creacion de estrategias de comprension de programas,"H Bernardis, M Bern, DE Riesco - XIV Workshop de  , 2012 - sedici.unlp.edu.ar",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
 GCC  AST  C ,"   - , 2010 - journal.hit.edu.cn",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
"", - 2012 - library.naist.jp,Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
Comparing Programming in POSH and GOAL,"R Korstanje, C Brom, J Gemrot, KV Hindriks - artemis.ms.mff.cuni.cz","",1,"Theories, methods and tools in program comprehension: Past, present and future"
PARTITIONING OBJECT-ORIENTED SOURCE CODE FOR,N Walkinshaw - 2006 - cs.le.ac.uk,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Understanding source code through projectional editor,"J Juhar, L Vokorokos - Engineering of Modern Electric Systems  , 2015 - ieeexplore.ieee.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
 Application of Artificial Intelligence methods in Finding Program Comprehension Differences in Novice Object Oriented Programmers,"M Ahmadzadeh, E Mahmoudabadi - INTERNATIONAL JOURNAL OF COMPUTERS  , 2013","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Exploring Characteristics of Code Churn,JM Kraaijeveld - 2013 - repository.tudelft.nl,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Comment-based concept location over system dependency graphs,"N Pereira, MJ Pereira - 3rd Symposium on  , 2014 - bibliotecadigital.ipb.pt",Cited by 1,1,"Theories, methods and tools in program comprehension: Past, present and future"
A knowledge based reengineering approach via ontology and description logic.,H Zhou - 2011 - v00dor00001d.dmu.ac.uk,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Understanding Dynamic Software Behavior with Tools for Retroactive Investigation,B Burg - 2015 - dlib.lib.washington.edu,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
"Norwegian University of Science and Technology (NTNU), Dept. of Computer and Information Science (IDI), Technical Report IDI-TR-02-07, ISSN: 1503-416X","AI Wang, E Arisholm - 2007 - idi.ntnu.no","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Program understanding using ontologies and dynamic analysis,J Belmonte Torrejon - 2014 - archive-ouverte.unige.ch,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Empirical validation of CodeCity: A controlled experiment,"R Wettel, M Lanza, R Robbes - 2010 - wettel.github.io",Cited by 3,1,Designing your next empirical study on program comprehension
A unified approach to feature-centric analysis of object-oriented software,"A Olszak, BN Jrgensen - Informatics, 2010 - actapress.com","",1,"Theories, methods and tools in program comprehension: Past, present and future"
An Algorithm of Program Comprehension and Visual Representation for Object-Oriented Program,"H Gu, D Lin - Emerging Research in Artificial Intelligence and  , 2011 - Springer","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Improving JavaScript Development Productivity by Providing Runtime Information within the Code Editor,A Troberg - 2015 - aaltodoc.aalto.fi,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Opening up Architectures of Software-Intensive Systems: A Functional Decomposition to Support System Comprehension,"P Charland, D Ouellet, D Dessureault, M Lizotte - 2007 - DTIC Document","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Automatic derivation of domain terms and concept location based on the analysis of the identifiers,"P Vaclavik, J Poruban, M Mezei - arXiv preprint arXiv:1003.1399, 2010 - arxiv.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
A review of source code projections in integrated development environments,"J Juhar, L Vokorokos - Computer Science and Information  , 2015 - ieeexplore.ieee.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Eclipse as a Tool for Program Understanding,M Knau - ncstrl.informatik.uni-stuttgart.de,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Tool support for security code review on smart cards,M Verstraelen - dare.uva.nl,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Assessing Program Comprehension Tools with the Communicability Evaluation Method,"D Pinheiro, M Maia, R Prates, R Bigonha - lbd.dcc.ufmg.br","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Panorama-a software maintenance tool,NBR Vattumalli - 2010 - lib.dr.iastate.edu,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
INSIGHT: a Semantic Visual Analytics for Programming Discussion Forums,"P Awasthi, IH Hsaio - ceur-ws.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Advanced software-based seRvice provisioning and migraTIon of legacy Software,"R Partner, TU Wien - 2014 - artist-project.eu","",1,"Theories, methods and tools in program comprehension: Past, present and future"
TASSAL: Autofolding for Source Code Summarization,"J Fowkes, P Chanthirasegaran, R Ranca, M Allamanis - homepages.inf.ed.ac.uk","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Reviving Literate Programming,FF Correia - 2008 - fe.up.pt,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Improving software maintenance efficiency with behavior-based cognitive models,"R Bayer, AE Milewski -  , Man and Cybernetics, 2008. SMC 2008 , 2008 - ieeexplore.ieee.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Building extensions for applications: Towards the understanding of extension possibilities,"M Aly, A Charfi, M Mezini - Program Comprehension (ICPC),  , 2013 - ieeexplore.ieee.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Functionality based refactoring: improving source code comprehension,JL Beiko - 2008 - qspace.library.queensu.ca,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Categorization of Concerns,"T Frey, M Gelhausen, G Saake - ecs.victoria.ac.nz","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Meta-Programming Task Specification Using Feature-Based Patterns and Domain Program Scenarios,"V tuikys, R Damaeviius - Meta-Programming and Model-Driven Meta- , 2013 - Springer","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Source Code Seeking on the Web: A Survey of Empirical Studies and Tools,"RE Gallardo-Valencia, SE Sim - 2014 - books.google.com","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Program comprehension levels of abstraction for novices,"A Shargabi, SA Aljunid, M Annamalai - Computer,  , 2015 - ieeexplore.ieee.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Methodology for Introducing Concurrency into Sequential Programs,X Xu - 2015 - ruor.uottawa.ca,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
A Method for Displaying Relations between Classes and Packages in Object-Oriented Programs,"M Sayedi, K Kaseb, R Mirzaei - research.uok.ac.ir","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Embedding model specifications in object-oriented program code,M Balz - 2012 - duepublico.uni-duisburg-essen.de,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Program comprehension with four-layered mental model,"M Nosal, J Poruban - Engineering of Modern Electric Systems ( , 2015 - ieeexplore.ieee.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Concept Location based on System Dependency Graphs,NFG Pereira - 2015 - repositorium.sdum.uminho.pt,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
User evaluation of a domain specific program comprehension tool,"L Moonen - Proceedings of the First International Workshop on  , 2012 - dl.acm.org","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Visual Representation of a Customizable Software Maintenance Process Model,F Chen - 2009 - Citeseer,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
 Taskscapes: a topographical model of task context,M Kersten,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Component Substitution Process Model,J Rilling - 2008 - cradpdf.drdc-rddc.gc.ca,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Method to evaluate software protection based on attack modeling,"H Wang, D Fang, N Wang, Z Tang -   & 2013 IEEE  , 2013 - ieeexplore.ieee.org",Cited by 1,1,"Jasvir Nagra, Paolo Falcarin, Filippo Ricca, Marco Torchiano, and Paolo Tonella. The Effectivenes..."
 NS ,"LIN Dao-Miao, GU Hui - , 2012 - ecice06.com","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Effects of Refactoring on Productivity in Relation to Code Understandability,E Ammerlaan - 2014 - repository.tudelft.nl,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Visualizacin de software orientada a comprensin de programas,"EA Miranda, M Bern, GA Montejano - XIV Workshop de  , 2012 - sedici.unlp.edu.ar","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Locating Interested Code by Program Execution Paths with Debugger,JY Wang - 2013 - ir.lib.ncu.edu.tw,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Extraccin y anlisis de informacin esttica orientada a la comprensin de programas para Sistemas OO,"EA Miranda, MM Bern, DE Riesco - Ciencia y Tecnologa, 2014 - pub.palermo.edu","",1,"Theories, methods and tools in program comprehension: Past, present and future"
 C ,"  - , 2013 - cqvip.com","",1,"Theories, methods and tools in program comprehension: Past, present and future"
"","      - : , 2014 - cnki.com.cn","",1,"Theories, methods and tools in program comprehension: Past, present and future"
"","   - , 2007 - cqvip.com","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Vers une approche automatique pour l'extraction des rgles d'affaires d'une application,G Chnard - 2007 - archipel.uqam.ca,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Extraccin de informacin dinmica en programacin orientada a objetos (Java),"H Bernardis, M Bern, D Riesco - XIII Workshop de  , 2011 - bibliotecadigital.ipb.pt","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Documenting for Program Comprehension in Agile Software Development,F Kiss - 2011 - bada.hb.se,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
DOUTORADO EM EDUCAO MATEMTICA,LS de Assis - sapientia.pucsp.br,"",1,"Theories, methods and tools in program comprehension: Past, present and future"
Compreensao de Programas Apoiada por uma Linguagem de Consulta em Cdigo Fonte,"DP Pinheiro, RG Ribeiro, AA Oliveira, MA Maia - lbd.dcc.ufmg.br","",1,"Theories, methods and tools in program comprehension: Past, present and future"
Extracting business logic from existing cobol programs as a basis for redevelopment,"HM Sneed -  , 2001. IWPC 2001. Proceedings. 9th International  , 2001 - ieeexplore.ieee.org",Cited by 41,1,Understanding program understanding
Facilitating program comprehension by mining association rules from source code,"C Tjortjis, L Sinos, P Layzell - Program Comprehension, 2003.  , 2003 - ieeexplore.ieee.org",Cited by 36,1,Understanding program understanding
Expert Maintainers' Strategies and Needs when Understanding Software: A Case Study Approach,"C Tjortjis, P Layzell -  , 2001. APSEC 2001. Eighth Asia-Pacific, 2001 - ieeexplore.ieee.org",Cited by 26,1,Understanding program understanding
Data mining source code to facilitate program comprehension: experiments on clustering data retrieved from C++ programs,"Y Kanellopoulos, C Tjortjis - Program Comprehension, 2004.  , 2004 - ieeexplore.ieee.org",Cited by 22,1,Understanding program understanding
An improved methodology on information distillation by mining program source code,"Y Kanellopoulos, C Makris, C Tjortjis - Data & Knowledge Engineering, 2007 - Elsevier",Cited by 16,1,Understanding program understanding
From system comprehension to program comprehension,"C Tjortjis, N Gold, P Layzell - Computer Software and  , 2002 - ieeexplore.ieee.org",Cited by 10,1,Understanding program understanding
Automatic relative debugging,AJ Searle - 2006 - eprints.qut.edu.au,Cited by 2,1,Understanding program understanding
