Subject,Date,Order,start1,end1,start2,end2,start3,end3,start4,end4,A,B,C,D,E,F,G,H,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,
1118,6/27/16,fgad,11:22,11:30,11:31,11:46,11:46,11:56,11:57,12:07,"a: 0 0zy 1
 b: 1 0zy 1
 c",,,"a: 2 2 0 0
 c: 2 0 2 1
 c: 3 3 2 2
 e",,"a: -1 -2 0 Garbage/0.0
 a: -1 -1 0 Garbage/0.0
 a: -1 0 0 Garbage/0.0
 b: c
 d","a: 1 0
 b: 32
 c: 1 1
 d",,,,,,,,,,,,,
1155,6/22/16,bedg,12:03,12:12,12:12,12:16,12:16,12:22,12:21,12:24,,"a: 0 z 1
 b: 1 (character before the location of string ""zy"") 1
 a: 0 y 1
 b: 1 z 1",,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 e","a: -1 -2 0 0
 b: I give up",,"a: 1 0
 I give up!",,,,,,,,,,,,,
1236,6/13/16,cfah,10:35,10:48,10:48,11:04,11:05,11:09,11:10,11:24,"a: 0 bczy 1
 b: 0 abyz 1
 c",,"a: 2 2 0 0
 a: 3 3 0 2
 c",,,"a: -1 -2 0 0.0
 a: -1 -1 0 0.0
 b: #0865ab7
 b: c
 d",,"a: 1 0
 b: 1 1
 a: 0 0
 a: 1 0
 b: 1 1
 infinite loop",21,F,Bachelor,Undergraduate,Computer Science,1,1,"C++, Python",,C++,2,"I google a lot when I program, but after using it I forget what I used. So close-book test like this can be really hard."
2024,6/11/16,acfh,5:02,5:05,5:05,5:15,5:16,5:19,5:20,5:34,"a: 0 bzy 1
 b: 1 abzy 1
 c",,"a: 2 2 0 0
 a: 3 3 0 1
 c",,,"a: -1 -2 0 0
 b: c
 d",,"a: 1 0
 b: 1 1
 a: 0 0
 2: 0
 4: 0
 d",27,M,PhD,Graduate student,Computer Science,11,2,"C++, JavaScript, HaXe, C#, typescript, action script, Java, Python","Java, Python, typescript",C#,4,
2360,6/13/16,cgbf,17:08,17:36,17:37,17:47,17:48,17:58,18:00,18:09,,"a: 0 zy 1
 b: 1 zy 1
 a: 0 zz 1
 b: 1 zz 1
 c","a: 1 2 0 0
 b: 2
 a: 2 3 0 1
 b: 2
 c",,,"a: -1 -2 0 0.0
 a: -2 -1 -2 0.0
 I give up!","a: 1 0
 a: 0 0
 b: 16
 c: 1 1
 d",,,,,,,,,,,,,
2413,6/24/16,bhec,12:42,1:49,12:49,1:43,1:02,1:49,1:09,1:26,,,"a: 2 2 0 0
 a: 3 3 0 1
 c",,"a: -1 -2 0 0.000000000000
 a:
 I give up!",,,"a: 1 0
 b: 1 1
 a: 0 0
 a: 1 0
 b: 1 1
 I give up!",,,,,,,,,,,,
2982,6/27/16,bgcf,12:31,12:40,12:40,12:53,12:55,13:01,13:02,13:03,,"a: 0, ""azy"", 1
 b: 1, ""azy"", 1
 a: 0, ""bzy"", 1
 b: 1, ""bzy"", 1
 c","a: 2, 2, 0, 0
 a: 2, 0, 2, 2
 b: 2",,,"a: -1, -2, 0, 0
 b: c
 d","a: 1, 0
 a: 0, 0
 c: 1, 0
 d",,,,,,,,,,,,,
3339,6/20/16,ahde,3:00,3:07,3:08,3:28,3:28,3:31,3:31,3:34,"a: 0 ? 1
 b: 1 ? 1
 c",,error: undefined variable V4,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 e",,,,"a: 1 0
 b: 1 1
 a: 0 0
 a: 1 0
 b: 1 1
 a: 0 0
 a: 1 0
 b: 1 1
 a: 0 0
 a: 1 0",,,,,,,,,,,,
3483,6/28/16,fcgb,14:35,14:38,14:39,14:46,14:46,15:10,15:10,15:17,,"a: 0 0zy 1.0
 b: 1 0zy 1.0
 a: 0 1zy 1.0
 b: 1 1zy 1.0
 c","a: 2 2 0 0
 c",,,"-1, -2, 0, 0.0
 b: c
 d","a: 1.0 0.0
 b: 32.0
 c: 0.0 1.0
 d",,,,,,,,,,,,,
3889,6/13/16,hade,12:02,12:14,12:15,12:21,12:21,12:34,12:34,12:41,"a: 0 abzy 1
 b: 0 zy 1
 c
 a: 0 0 1
 b: 0 0 1
 c",,,"a: 2 2 0 0 
 c: 2 0 2 1
 a: 3 3 0 1
 c: 3 0 3 1","a: -2 -2 0 12345012345
 b: 0
 c: -3 -2 0 12345012345 ab",,,"a: 1 0
 b: 1 1
 4: 32 << 0",24,M,MSc,Graduate student,Electrical Engineering,1-1.5,1,"C/C++, Python",Currently I'm not into developing software and not even into programming.,Python,3,The questions were actually checking the base knowledge like the flow control and the math expressions and boolean. A person currently into C would find no problem solving these problems.
4073,6/21/16,gfad,10:21 AM,10:36,10:37,10:49,10:50,10:57,10:57,11:06,"c
 I give up!",,,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 a: 3 3 0 2
 c: 3 0 3 0
 e",,"a: -1 -2 0 x-> some number
 a: -1 -1 0 x
 a: -1 0 0 x
 c: -2 0 0 0 0
 b: a
 c: -2 -1 0 0 0
 b: a
 d","a: 1 0
 c: 1 0
 a: 0 0",,,,,,,,,,,,,
4246,6/16/16,gdaf,14:34,15:05,15:05,15:13,15:14,15:23,15:24,15:39,"a: 0 zy 1
 b: 1 zy 1
 a: 0 y 1
 b: 1 y 1
 c",,,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 a: 3 3 0 2
 b: 3
 e",,"a: -1 -2 0 0.000000
 a: -1 -1 0 0.000000
 a: -1 0 0 0.000000
 b: c
 c: -2 0 0 1.000000 1
 b: b
 c: -2 -1 0 0.000000 0
 b: a
 d","a: 1 0
 c: 1 1
 a: 0 0
 b: 64
 d",,,,,,,,,,,,,
4500,6/17/16,ebch,11:38,12:06,12:07,12:25,12:25,12:42,12:42,13:05,,"a: 0 zy 1
 b: 1 zy 1
 a: 0 y 1
 b 1 y 1
 c","a: 2 2 0 0
 b: 2
 c",,a: -1 -2 0 0,,,"a: 1 0
 b: 1 1
 a: 0 0
 2: 2
 4: 32
 d",,,,,,,,,,,,
5125,6/9/16,edgb,14:06,14:17,14:17,14:36,14:37,14:49,14:50,14:54,,"a: 0 zy 1
 b: 1 zy 1
 a: 0 y 1
 b: 0 y 1
 c",,"a: 2 2 0 0
 c: 2 0 0 1
 a: 3 3 0 1
 c: 3 0 0 1
 d: 4","a: -1 -2 0 0.0
 b: c
 d",,"a: 1 0
 c: 1 0
 a: 0 0
 d",,26,M,MS,Graduate student,Comp Sci,13,13,"C/C++, Python, Java, ASM (x86/Freecscale/PIC), shell script (bash), Objective-C","C, Python, Java",C,5,
5278,6/9/16,cbfg,4:51,5:13,5:13,5:22,5:22,5:35,5:35,5:41,,"a: 0 zy 1
 b: 0 zy 25
 ""I gave up!"" -- don't understand for loop condition","a: 1 2 0 0 
 b: 2
 a: 2 3 0 1
 b: 2
 a: 2 0 0 1",,,"a: -1 -2 0 0 
 a: -1 -1 0 0
 a: -1 0 0 0
 c: -1 0 0 0 0
 c: -2 0 0 0 0
 c: -2 -1 0 0 0
 b: 0
 d: 0","a: 1 0 
 b: 0
 c: 1 1
 ""I gave up!"" -- again don't understand for loop condition",,26,M,PhD,Graduate student,Electrical Engineering,1,0.5,"Matlab, SQL, C, C#, PHP",it does not,Matlab,2,It has been 4 years since my 6 months of using C.
5545,6/17/16,fcgb,1:37 PM,1:53 PM,1:54 AM,2:06 PM,2:06 PM,2:21 PM,2:16 PM,2:18 PM,,c,"a: 1 2 0 0
 I give up!",,,"a: -1 -2 0 0
 b: c
 d","a: 1 0
 c: 1 1
 d",,,,,,,,,,,,,
5802,7/1/16,fcbg,16:21,16:32,16:33,16:49,16:49,17:00,17:00,17:21,,"a: 0 zy 1
 b: 1 zy 1
 a: 0 y 1
 b: 1 y 1
 c","a: 2 2 0 0
 a: 2 0 2 0
 b: 2
 a: 3 3 2 1
 b: 3
 c",,,"a: -1 -2 0 0.0
 a: -1 -1 0 0.0
 b: c
 c: -2 -1 0 -1 1.0
 b: a
 d","a: 1 0
 c: 1 1
 a: 0 0
 I give up!",,,,,,,,,,,,,
5998,6/20/16,daeh,1:35,1:49,1:49,1:52,1:53,2:00,2:01,2:16,I give up,,,"a: 2, 2, 0, 0
 c: 2, 2, 2, 1
 a: 3, 3, 0, 2
 c: 3, 0, 3, 1
 I Give up","a: -1, -2, 0, garbag value
 I give up",,,"a: 1 1
 b: 1 1
 a: 0 0
 b: 0 1
 4: 32^(fffffffe)
 ""d\n""",,,,,,,,,,,,
6371,6/28/16,dhae,11:10,11:21,11:22,11:32,11:33,11:43,11:43,12:04,"a: 0 bczy 1
 b: 1 abyx 1
 c",,,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 a: 3 3 0 2
 c: 3 0 3 1
 e","a: -1 -2 0 0
 a: -1 -1 0 0
 a: -1 0 0 0
 b: c
 c: -1 0 0 0 0
 I give up!",,,"a: 1 0
 b: 1 1
 a: 0 0
 2: 32
 4: 0
 d",,,,,,,,,,,,
6708,12/6/16,cheb,14:30,14:35,14:35,14:45,14:45,14:58,14:58,15:03,,"a: 0 0zy 1
 b 1 0zy 1
 a: 0 1zy 1
 b: 1 1zy 1
 c","a: 2 2 0 0
 a: 3 3 2 1
 c",,"a: -1 -2 0 <Value in memory>
 b: c (because of lazy evaluation of &&)
 d",,,"a: 1 0
 b: 1 1
 a: 0 0
 a: 1 1
 b: 1 1
 a: 1 0
 b: 1 1
 a: 0 0
 a: 1 1
 b: 1 1
 a: 1 0
 (Infinite recursion)",,,,,,,,,,,,
6862,,dbge,4:07,4:07,4:08,4:15,4:15,4:19,4:20,4:26,,"a: 0 zy 0
 b: 1 zx 1
 c",,e,"a: -1 -2 0 0.0
 a: -2 -3 0 0.0
 c: -2 -3 0 0.0 0
 d",,"a: 1 0
 I give up",,,,,,,,,,,,,
7320,6/27/16,daeh,17:16,17:31,17:33,17:39,17:40,17:48,5:49 PM,18:00,c,,,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 a: 3 3 0 2
 c: 3 0 3 1
 c: 3 0 3 2
 d: 3
 c","a: -1 -2 0 0.0
 b: c
 d",,,"a: 1 0
 b: 1 1
 a: 0 0
 2: 16
 4: 32
 d",,,,,,,,,,,,
7642,,edha,8:08,8:20,8:20,8:35,8:38,8:56,8:56,9:06,"a: 0 azy 1
 b: 1 azy 1
 a: 0 bzy 1
 b: 1 bzy 1
 c",,,"a: 2 2 0 0
 c: 2 0 2 0
 c: 2 0 2 1
 d: 2
 d: 2 0 0 2
 c: 2 0 0 3","a: -1 -2 0 0.0
 b: c
 d",,,"a: 1 0
 b: 1 1
 a: 0 0
 a: 1 0
 b: 1 1
 a: 0 0
 (repeat from top)",,,,,,,,,,,,
8273,6/20/16,fadg,10:00,10:08,10:09,10:14,10:14,10:20,10:21,10:39,I give up!,,,"a: 2 2 0 0
 c: 2 0 2 1
 d: 2
 a: 3 3 2 2
 c: 3 0 16 0
 e",,"a: -1 -2 0 0.00
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00 
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00
 a: -1 -1 0 0.00","a: 1 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0",,,,,,,,,,,,,
8317,6/28/16,agdf,2:34 PM,2:48 PM,2:48,3:11,3:11,3:28,3:28,3:44,c,,,"a: 2 2 0 0
 c: 2 0 2 0
 a: 3 3 0 1
 c: 3 0 3 1
 e",,"a: -1 -2 0 356789
 a: -2 -1 0 889765
 a: -3 -1 -3 121856
 a: -4 -1 -4 87655
 a: -1 0 -4 128355","a: 1 0
 c: 1 1
 d",,,,,,,,,,,,,
8782,6/13/16,dfga,3:30,3:48,3:48,3:56,3:56,4:11,4:12,4:20,segfault? no way you can index into an uninitialized array V7!,,,"a: 2 2 0 0 
 c: 2 0 2 0
 a: 3 3 2 1
 c: 3 0 19 0
 e",,"a: -1 -2 0 (random float?)
 b: (random byte)
 d","a: 1 0
 b: 0 ?
 c: 0 1
 d",,33,M,PhD,Graduate student,CS,at least 5 years,"tops, 2 years","Python, Ruby, R, Lisp, ML, C, C++, JavaScript",Python,Python,1,I don't know what you can generalized from this. I feel that the examples are contrived. No one debugs a C program like this.
9072,6/28/16,fbgc,10:36,10:54,10:55,10:07,10:07,10:12,10:12,11:20,,"a: 0 zy 1
 b: 1 zx 1
 a: 0 zz 1
 b: 1 zy 1
 c","a: 2 2 0 0
 a: 2 0 0 1
 b: 2
 c",,,"a: -1 -2 0 0
 a: -1 -1 0 0
 a: -1 0 0 0
 b: c
 c: -2 0 0 1 1
 b: b
 c: -2 -1 0 0 0
 b: a
 d","a: 1 0
 I don't know
 d",,,,,,,,,,,,,
9336,6/24/16,fgad,14:09,2:29,2:29,2:48,2:48,2:53,2:53,3:02,c,,,"a: 2 2 0 0
 c: 2 0 0 0
 a: 3 3 0 1
 c: 3 0 0 1
 c: 3 0 0 2
 d: 3
 e",,"a: -1 -2 0 0.0
 a: -1 -1 0 0.0
 a: -1 0 0 0.0
 b: c
 c: -1 0 0 1.0 1
 b: b
 c: -2 -1 0 0.0 0
 b: a
 d","a: 1 0
 b: 64
 a: 0 0
 b: 64
 I give up!",,,,,,,,,,,,,
9492,6/14/16,bche,13:59,14:08,14:08,14:16,14:17,14:25,14:25,14:27,,"a: 0 azy 1
 b: 0","a: 1 1 0 0
 a: 1 0 0 1",,a: -1 -2 0 0.0,,,"a: 1 0
 b: 1 1
 a: 0 0
 2: 0
 d",,,,,,,,,,,,
9582,7/5/16,hbec,11:33,11:44,11:44,11:47,11:48,11:52,11:52,11:55,,"undefined
 ends with:
 c","a: 2 2 0 0
 I give up",,"a: -1 -2 0 ?",,,"a: 1 0
 b: 1 1
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0
 a: 0 0",,,,,,,,,,,,
9998,6/30/16,hfac,21:33,21:53,21:53,22:05,22:05,22:11,22:11,22:20,I GIVE UP!,,"a: 2 0 0 0
 b: 1
 c",,,"a: -1 -2 0 0
 b: c
 d",,"a: 1 0
 a: 0 0
 b: 0 1
 4: 64
 I GIVE UP!",,,,,,,,,,,,